Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
1832,"Eriu Fluctus",600,-37,-3,
1833,"Erkeley",8,43.9,103.3,
1834,"Erkir Corona",275,-16.3,-126.3,
1836,"Ermolova",60.9,60.3,154.4,
1838,"Erxleben",31.6,-50.9,39.4,
1840,"Erzulie Mons",300,-68,8,
1843,"Escoda",19.6,18.2,149.5,
1847,"Esmeralda",9.8,64.4,104.5,
1852,"Estelle",18.8,1.1,93.7,
1853,"Esterica",3.6,36.8,3.6,
1854,"Esther",17.6,19.4,21.8,
1855,"Etain Dorsa",1400,-45,-161,
1862,"Eudocia",27.5,-59.1,-158,
1865,"Eugenia",6,80.6,105.4,
1877,"Eurynome Corona",200,26.5,94.5,
1881,"Evaki Tholus",200,37.6,-17.8,
1882,"Evangeline",16,69.6,-138.1,
1885,"Eve Corona",330,-32,-0.2,
1886,"Evelyn",18,-61.2,-147.7,
1888,"Evika",20.3,-5.1,31.4,
1892,"Ezraela",7.8,57,-173.2,
1899,"Faiga",9.6,4.9,170.9,
1900,"Faina",10,71.1,100.7,
1903,"Fakahotu Corona",290,59.1,106.4,
1908,"Fand Mons",300,7,158,
1910,"Fara Vallis",260,-1.2,-14.5,
1912,"Faravari Mons",500,-43.5,-51,
1913,"Farida",18,4.8,39,
1916,"Fatima",14.5,-17.8,31.9,
1917,"Fatua Corona",400,-16.3,17.7,
1918,"Faufau",7.8,18.8,8.3,
1921,"Fava",9.7,-0.7,87.4,
1923,"Fazu",6.1,32.4,106,
1924,"Fea Fossae",620,27.5,-136,
1926,"Fedchenko Patera",75,-24,-133.5,
1927,"Fedorets",57.6,59.7,65.6,
1929,"Fedosova Patera",24,45,171.8,
1930,"Fefafa Corona",100,-24.8,-149.2,
1931,"Felesta Fossae",570,34.5,46.5,
1932,"Felicia",11.5,-19.8,-133.5,
1937,"Ferber",23.1,26.4,12.9,
1941,"Fernandez",23.7,76.2,17.2,
1943,"Feronia Corona",360,68,-78.3,
1944,"Ferrier",29.1,15.7,111.3,
