Feature_ID,Feature_Name,Diameter,Center_Latitude,Center_Longitude,
15386,"Akutagawa",106,48.25,-141.09,
15387,"Bagryana",101,-3.89,76.27,
15388,"Baranauskas",36,50.73,-39.76,
15389,"Boznańska",72,59.64,-40.75,
15390,"Brooks",34,-45.22,-168.02,
15391,"Castiglione",80,-40.87,87.96,
15392,"Driscoll",30,30.58,-33.58,
15393,"Jobim",167,32.45,-66.88,
15394,"Namatjira",34,58.82,-33.04,
15395,"Plath",35,37.86,-38.84,
15396,"Du Fu",33,25,-93.66,
15397,"Villa-Lobos",67,5.27,6.79,
15416,"Kerouac",110,25.21,129.1,
15433,"Burke",28.5,85.91,-171.56,
15434,"Sapkota",27.4,86.09,-132.79,
15435,"Yamada",17.1,82.54,136.16,
15471,"Unity Rupes",350,27.16,84.8,
15554,"Turms Planitia",622,-31.05,9.19,
15555,"Otaared Planitia",470,18.26,22.39,
15556,"Apārangi Planitia",1077,6.7,70.62,
15557,"Sihtu Planitia",565,-2.82,-55.57,
15558,"Papsukkal Planitia",810,-16.25,88.37,
15559,"Catuilla Planum",735,-8.78,114.22,
15560,"Stilbon Planitia",1550,57.54,150.39,
15561,"Mearcair Planitia",1175,31.4,132.1,
15562,"Lugus Planitia",574,-6.24,-98.66,
15563,"Utaridi Planitia",930,-65.5,89.83,
15565,"Heaney",125,-33.77,122.29,
15621,"Anguissola",35.41,80.69,142.65,
15622,"Anyte",20.92,79.5,149.33,
15623,"Vonnegut",26.61,82.72,110.09,
15724,"Nathair Facula",270,36,64.5,
15725,"Neidr Facula",90,35.9,57.3,
15726,"Suge Facula",32,26.1,59.6,
15727,"Agwo Facula",50,22.4,146.3,
15728,"Abeeso Facula",32,21.7,145.4,
15729,"Thueban Facula",25,48.7,159.5,
15730,"Slang Faculae",204,24.5,-179.3,
15744,"Bibilava Faculae",100,16.4,157.2,
15745,"Ejo Faculae",115,14.5,159.5,
15746,"Inyoka Faculae",130,14,162.3,
15747,"Maciji Facula",29,14.9,164,
15748,"Nzoka Facula",20,15.4,165.3,
15749,"Ibab Facula",13,14.5,160.8,
15752,"Gata Facula",55,-52.9,38.6,
15753,"Nākahi Facula",64,-52.7,17.8,
15754,"Amaru Facula",45,-49.8,10.5,
15772,"Canova",46,25.6,-3.71,
15773,"Travers",164,-28,30.9,
